9,25,-,11
-,2,-,4
1,9,-,3
-,3,1,5
25,49,-,27
42,56,44,58
71,73,57,93
81,121,-,83
92,112,90,110
-,99,65,101
121,169,-,123
142,140,104,148
-,146,144,196
321,319,261,329
503,505,465,557
564,562,498,590
905,907,895,1019
1046,1048,1002,1134
1068,1204,1110,1112
1257,1401,1339,1337
1612,1614,1588,1752
1686,1854,1846,1844
1922,1920,1780,1952
2516,2518,2484,2688
2671,2669,2535,2739
2613,2821,2799,2797
2778,2994,2840,2842
2897,2895,2725,2937
3001,3225,3049,3051
3355,3353,3147,3375
3564,3562,3402,3638
4261,4525,4455,4453
5262,5558,5396,5398
5363,5659,5593,5591
6121,6123,6047,6363
6771,6773,6677,7009
