995 861
830 939 970
514 499 -331
450 740 -66
633 22 -385
512 548 457
413 151 -576
312 402 -675
764 468 340
195 355 377
994 935 -797
514 74 437
742 216 581
691 339 -957
114 487 -447
978 575 -813
925 16 180
573 274 -227
856 760 472
492 640 -67
10 250 -234
292 753 451
821 465 -81
313 79 -794
82 541 486
488 540 281
263 414 399
801 584 907
972 371 33
421 619 -869
708 732 691
322 193 588
777 549 274
715 959 168
55 901 483
546 679 -118
355 199 -726
291 582 825
433 553 -203
853 808 556
59 588 155
541 633 811
416 470 -7
546 80 -185
299 545 1000
707 595 -425
36 794 -279
711 677 185
164 478 940
592 44 192
488 216 -851
990 889 -750
742 216 322
839 663 -753
700 793 -60
625 213 -406
328 722 -563
357 811 -566
868 246 -28
961 758 655
90 154 -285
601 947 448
447 341 619
740 761 561
982 363 -789
418 501 376
699 585 38
712 462 410
926 32 178
128 813 -395
871 923 51
522 816 -547
117 189 -201
824 297 -101
693 555 -915
277 178 575
480 978 800
983 197 281
357 420 903
955 352 928
615 751 -196
792 474 700
896 400 -681
457 210 -135
377 87 623
729 957 -658
767 865 245
62 878 -954
55 158 825
544 33 -504
830 902 194
866 621 573
894 387 -314
413 48 -493
130 284 -500
254 210 557
446 497 -446
23 710 -49
863 12 -302
162 573 -584
555 618 669
104 114 295
332 710 105
93 893 591
600 971 -417
229 723 -704
226 555 -302
310 728 -168
736 992 -80
192 782 -39
921 32 -367
714 616 114
391 854 -73
881 714 -76
829 883 -256
413 320 -968
827 472 -172
75 74 -928
375 850 674
601 251 32
884 759 -804
206 533 -868
645 791 -802
371 582 165
257 724 586
19 734 334
711 342 -227
464 808 -614
667 28 203
182 977 524
836 663 79
781 877 885
289 38 -713
190 623 -651
833 635 559
602 27 139
852 756 -892
779 656 830
236 303 -682
143 214 894
35 3 640
689 3 -95
871 296 -7
943 224 333
52 896 -157
876 347 -93
803 265 -629
143 532 3
537 378 -334
750 389 -736
782 392 17
952 936 776
461 284 992
933 481 758
320 2 -616
245 595 -916
527 3 627
167 381 923
474 714 -240
502 297 -816
248 597 662
566 470 245
686 289 711
415 240 974
905 8 859
969 818 527
252 139 -970
122 389 -631
289 971 -995
630 126 788
526 888 359
470 837 155
849 252 133
473 860 4
99 496 -312
169 140 -27
151 606 394
4 173 -221
42 127 -870
532 460 809
988 36 -549
951 189 -932
703 836 -966
62 84 -67
39 323 320
17 880 -179
228 488 495
725 390 684
918 747 579
527 457 -38
3 661 -819
525 341 516
735 769 200
877 57 -185
557 579 -549
199 643 -662
609 773 67
823 792 -303
484 755 940
124 272 -803
977 671 -434
591 404 693
899 920 -943
472 82 -369
278 14 47
722 664 -250
894 995 10
47 468 481
631 549 -655
751 720 -423
444 882 422
799 153 564
789 126 273
433 600 853
406 711 805
343 233 -477
604 81 -760
949 7 103
386 300 184
894 267 -545
700 720 398
424 916 47
292 565 387
564 488 -719
187 642 -293
936 110 898
760 40 -571
58 378 603
612 637 -204
512 263 -476
649 871 -494
513 683 66
886 142 -454
553 413 957
54 897 13
878 670 -850
855 955 -412
658 472 301
543 237 -600
833 449 955
69 21 915
408 571 916
679 618 476
738 414 -754
300 762 -472
87 221 333
451 586 317
714 491 415
246 311 49
302 449 -602
240 883 625
123 500 -779
879 340 -651
119 408 -665
755 368 -870
624 20 -214
304 575 649
808 674 -927
392 279 850
662 899 451
262 942 650
137 296 413
309 338 42
458 67 -745
351 20 -806
40 594 140
714 144 -287
551 534 -847
360 916 561
68 488 347
413 485 254
490 394 469
672 687 922
257 429 143
629 164 525
489 314 -139
201 135 500
535 73 157
821 435 262
886 472 -425
138 904 -148
321 546 274
23 264 842
206 712 -193
667 373 672
670 196 -683
844 186 -142
80 366 976
873 519 -49
562 45 609
65 50 -9
83 425 986
577 857 986
750 536 406
371 622 -495
454 351 672
143 452 -37
826 739 -726
983 702 65
782 301 406
275 412 544
667 486 -809
860 402 291
114 925 -877
612 495 -78
730 980 366
648 904 -639
150 420 105
983 389 956
626 679 554
687 767 -850
497 163 -718
126 445 -969
162 838 -353
773 415 -927
689 542 -268
111 553 -788
161 847 182
90 326 499
118 860 751
901 709 -221
538 312 262
920 569 -406
988 889 999
97 975 393
678 172 -614
40 309 816
862 770 -787
468 785 42
760 239 155
643 69 575
476 93 787
243 750 916
146 144 412
516 411 -317
30 494 223
786 582 594
828 644 110
982 523 348
338 355 598
513 346 177
705 899 346
145 556 916
42 908 371
480 438 -568
991 357 812
283 631 583
873 93 -46
773 976 624
280 846 109
984 21 -719
663 406 578
211 279 352
354 15 -826
395 41 -625
989 712 978
128 872 -689
284 483 -134
162 29 62
580 441 -465
314 116 -897
934 720 735
450 168 -262
920 440 747
585 128 408
303 326 724
498 380 633
401 705 -266
666 491 106
709 967 -357
658 329 79
798 204 -230
720 479 34
516 945 -788
823 321 320
897 604 434
626 256 -904
543 456 -753
182 834 -659
711 927 871
962 146 387
446 750 84
976 303 408
84 481 -29
669 980 -160
691 795 -631
500 157 -246
870 59 -224
911 815 912
713 707 -590
662 64 -670
639 918 92
321 337 -633
171 737 -33
880 796 814
281 134 589
766 422 -397
262 912 222
535 422 -593
560 362 930
972 875 240
98 668 818
422 429 -208
822 456 -516
831 551 51
123 932 -106
488 440 439
506 855 617
169 851 -173
252 448 -934
553 150 -511
16 465 966
816 132 -354
157 291 695
194 546 609
595 566 -352
338 748 -214
128 826 -809
281 12 830
189 798 -983
170 976 -990
883 340 -548
923 753 872
138 432 829
504 369 628
29 727 293
852 191 968
822 752 -106
114 990 -973
495 503 237
159 729 42
593 279 352
400 544 -978
831 799 825
636 277 -346
979 647 90
325 930 -647
902 840 245
122 189 -31
386 31 -208
376 162 -522
445 907 -819
702 878 -962
938 153 946
390 272 870
295 745 -214
28 499 558
687 907 10
122 371 -520
159 57 -216
76 673 -605
516 87 -346
815 954 844
96 879 803
699 115 933
293 435 -374
425 589 -955
547 384 -319
102 686 -658
26 625 -789
433 229 -160
690 346 705
488 442 688
429 168 -216
279 244 -478
831 402 -787
482 282 389
673 657 -926
421 968 -372
415 188 544
899 236 726
308 453 -223
692 116 -512
436 982 -73
675 527 -800
238 826 -833
539 965 -611
781 900 610
130 449 -22
453 225 -313
915 264 589
521 277 982
146 253 -984
823 567 -552
465 235 -480
880 605 560
142 739 -578
507 731 -608
864 815 -850
131 892 609
305 90 923
877 44 475
834 576 -452
402 194 465
489 722 225
798 356 120
141 621 -244
357 477 -515
467 989 -693
885 439 -184
559 595 -533
117 279 -907
39 204 847
370 927 696
675 8 -371
340 922 -300
378 639 246
880 682 535
428 469 240
825 584 -244
437 261 234
53 676 -722
222 406 -992
869 57 -123
223 806 432
887 671 -424
701 569 981
391 530 153
813 459 906
41 61 -830
599 166 -521
499 649 197
549 977 284
53 877 -324
204 328 -51
792 675 -22
340 232 719
876 442 -425
253 101 -663
328 925 91
892 740 -999
353 545 -771
933 992 -10
223 386 -504
77 739 -767
519 365 -368
308 654 959
604 241 -736
96 208 -275
508 199 -817
427 286 180
325 423 -410
800 725 348
300 657 -805
353 199 481
748 321 -294
379 661 -81
829 914 -169
202 350 919
925 308 399
499 856 -274
298 182 750
186 18 -677
905 642 390
114 119 172
599 154 -787
269 219 -111
832 466 846
139 696 -850
468 763 -364
856 957 708
885 871 427
186 63 410
375 218 687
913 771 227
135 235 964
266 337 299
529 568 -90
148 620 149
350 761 405
667 427 68
531 434 568
175 499 -851
990 748 466
837 889 -800
184 319 -39
404 21 -434
196 793 -199
461 269 -678
366 582 380
264 139 300
698 272 903
630 86 32
892 324 -656
866 730 893
992 612 -87
321 923 -390
400 247 290
892 460 -635
673 593 887
602 184 53
72 677 2
35 716 -719
464 183 796
110 542 -903
572 907 986
609 692 88
943 764 179
261 884 129
234 384 -131
464 292 -595
83 31 -7
665 612 387
774 555 368
908 722 557
662 632 -475
449 277 54
713 815 -583
300 370 564
142 830 14
752 63 -553
105 778 546
175 652 311
618 777 136
38 374 -368
510 395 -623
497 651 -145
487 414 -802
674 816 -489
818 493 868
185 124 17
431 21 265
976 501 529
651 545 -550
845 823 310
43 240 751
530 518 841
373 435 -216
690 955 469
256 614 -261
485 128 -421
132 870 117
726 703 -890
471 774 234
80 892 52
327 84 -794
608 620 352
596 779 8
588 187 -229
60 855 647
516 258 914
419 948 -887
149 911 -124
110 56 3
509 898 605
11 490 -380
710 78 -450
37 394 952
816 813 -3
596 624 -284
902 184 -562
694 817 -4
153 367 -805
808 369 660
10 532 -854
540 657 638
332 601 -349
213 784 -952
14 729 118
790 377 -952
717 427 204
840 479 707
54 247 -360
184 485 -737
939 888 937
89 718 908
254 769 -675
268 543 -948
830 46 -527
620 785 372
261 18 89
56 690 -269
898 479 -151
318 198 -48
607 136 -26
333 143 -857
633 887 -212
493 787 -894
254 228 354
165 19 390
650 64 -471
718 849 842
245 703 868
