18
848 1648
290 130 87
243 204 287
21 425 876
306 381 577
304 219 765
461 24 146
707 351 15
792 37 893
123 356 476
541 361 479
430 189 296
341 242 294
513 503 830
173 701 768
312 693 812
385 597 433
415 473 38
183 838 867
540 81 545
768 107 790
479 640 801
657 535 93
52 67 171
214 667 610
160 674 990
657 615 582
721 126 304
168 714 178
284 214 489
50 21 923
654 331 355
406 410 217
787 314 589
306 153 63
13 751 160
34 446 530
634 768 361
844 335 291
444 422 635
509 197 468
108 208 224
27 326 532
709 708 263
714 31 530
406 231 324
400 364 480
496 278 789
80 335 98
829 9 936
429 749 50
92 460 837
360 88 579
790 636 208
575 121 656
477 602 287
184 592 806
762 297 701
642 490 886
361 45 775
347 278 755
265 521 706
593 616 761
581 636 255
658 341 355
390 42 393
48 27 9
402 422 930
340 126 26
143 377 219
58 378 596
787 431 842
787 553 420
692 824 225
258 490 626
117 429 71
596 504 711
376 315 827
795 460 284
702 268 717
92 259 877
246 764 298
842 89 871
260 103 627
284 166 689
249 596 533
452 263 217
787 139 761
652 369 667
78 662 486
469 306 998
327 632 649
846 753 866
637 499 280
655 449 142
104 753 690
190 753 871
8 284 130
310 390 289
281 56 508
571 821 997
827 671 960
807 343 330
124 640 634
605 539 933
786 565 587
181 814 750
193 551 702
26 492 293
270 399 285
420 833 188
238 182 264
838 653 772
146 166 266
82 77 17
332 432 410
513 326 264
650 404 214
806 537 913
281 346 57
394 338 872
27 203 953
112 224 281
366 33 167
570 741 671
245 797 843
235 803 727
534 140 74
279 507 970
789 581 265
478 84 699
284 77 757
445 718 114
663 227 804
645 84 557
522 158 346
92 82 680
711 431 377
186 2 298
484 585 23
564 260 261
108 50 251
517 217 393
20 66 864
384 802 49
327 841 526
126 842 322
425 283 28
631 1 537
258 824 828
638 243 910
114 6 228
156 541 173
599 142 768
578 624 516
340 416 655
82 408 393
273 194 219
47 276 75
800 848 503
47 735 51
257 204 9
654 264 495
810 383 899
330 735 650
763 691 798
147 837 431
