873 2557
727 138 628
36 676 998
502 778 368
173 212 428
61 25 392
389 765 797
239 428 74
812 9 877
151 92 750
390 117 571
672 191 410
423 855 627
413 281 414
830 863 378
15 250 634
411 88 264
748 177 490
624 523 326
565 185 730
479 638 84
553 642 243
358 857 938
497 481 496
187 536 665
653 562 298
301 296 206
481 308 167
21 328 21
579 191 941
161 111 557
550 475 586
276 72 251
687 474 981
494 627 384
367 706 793
490 501 271
635 707 658
565 155 780
295 395 816
150 181 799
347 527 349
380 509 13
171 189 968
342 670 145
48 316 992
523 73 958
261 584 595
703 128 902
311 610 14
119 441 196
801 567 40
632 38 88
801 680 502
839 470 97
544 243 376
225 770 964
713 274 186
802 595 820
179 232 535
266 198 107
104 589 839
160 405 559
81 854 308
780 487 199
389 519 763
574 75 614
195 263 900
443 112 85
829 384 782
163 284 930
458 441 381
323 820 508
712 652 605
233 608 217
724 8 425
20 579 311
722 556 935
145 204 580
440 732 629
794 486 428
387 363 415
246 797 878
410 346 148
839 680 800
397 604 503
149 86 947
739 289 903
299 747 377
743 244 134
34 740 917
103 276 190
750 251 384
362 20 871
163 10 14
239 251 406
96 846 21
9 584 911
691 491 475
807 130 98
687 369 715
683 425 18
34 615 667
540 197 323
718 600 192
145 328 994
707 140 139
495 601 197
90 326 659
575 18 485
602 404 473
828 292 746
184 728 788
260 608 44
303 786 847
76 194 62
191 52 730
411 240 800
613 542 76
184 461 823
801 658 256
805 365 278
694 441 911
515 742 808
118 465 875
417 368 901
445 110 342
511 838 438
273 280 811
399 551 542
373 465 315
414 276 480
352 392 131
684 622 802
808 337 426
61 484 567
613 632 549
604 787 788
43 344 492
428 802 92
216 124 458
223 695 450
527 827 654
729 83 484
384 57 969
806 727 854
597 539 792
823 96 435
688 487 165
373 598 176
332 65 540
748 68 11
687 658 87
435 121 570
15 139 637
156 505 88
565 517 880
368 66 962
224 798 376
46 145 891
20 306 437
23 520 312
658 115 703
651 631 556
274 87 295
343 704 586
298 135 909
11 444 16
746 641 84
18 341 70
478 390 624
769 336 197
599 109 338
554 247 402
518 145 874
417 154 303
74 650 879
444 312 216
257 807 745
773 594 963
35 510 927
142 217 417
96 462 801
190 390 897
762 617 519
181 734 536
381 107 653
20 568 615
256 237 331
8 871 733
547 429 642
522 622 391
687 243 928
344 792 891
850 743 514
432 786 918
743 197 869
647 166 621
862 55 865
855 342 643
732 808 76
749 39 529
390 870 450
626 583 296
714 460 615
480 53 788
1 576 60
577 401 755
250 465 373
868 738 887
413 606 41
231 645 944
193 40 942
433 739 262
672 382 783
805 378 164
436 533 143
541 513 389
162 866 208
122 321 168
872 735 65
564 735 476
772 578 328
657 403 517
337 385 296
637 670 783
866 859 784
606 27 231
244 127 671
677 767 244
34 812 921
241 526 279
726 658 668
350 482 785
567 229 260
517 775 853
258 870 892
651 98 461
569 781 254
516 738 915
46 432 609
420 114 656
433 209 554
140 410 461
99 689 443
484 666 598
150 319 454
266 618 743
314 717 197
571 597 637
119 630 714
818 303 782
435 241 204
183 754 634
116 410 600
272 797 998
551 117 745
569 155 656
494 316 60
160 381 674
581 613 873
788 73 741
400 751 985
499 55 193
749 478 651
420 680 450
460 872 707
829 191 554
796 539 740
232 737 272
494 438 466
130 414 914
807 67 461
463 132 264
203 301 414
435 379 701
297 2 459
402 732 691
165 800 351
5 655 619
312 362 163
38 95 37
772 731 118
157 518 167
288 219 998
794 401 555
633 90 762
662 69 350
189 117 407
722 42 440
307 343 853
748 86 149
496 443 945
277 746 596
293 459 724
802 301 873
686 851 568
186 853 141
446 717 328
146 140 220
869 683 818
623 145 783
659 226 287
412 292 709
785 773 419
207 829 70
693 99 498
56 821 444
558 175 7
839 577 511
368 56 685
45 248 326
706 273 393
454 483 567
602 761 911
100 749 314
90 584 839
26 78 196
464 640 230
167 642 677
507 330 875
220 662 312
198 762 647
539 500 689
348 345 532
358 685 20
256 535 935
399 420 16
477 129 819
560 61 81
221 731 66
272 325 301
291 441 335
701 230 955
70 285 807
49 861 970
761 76 552
125 16 981
284 810 322
119 678 827
802 222 308
92 71 906
668 536 214
580 589 196
