18
935 930
417 65 -549
202 95 609
544 700 -516
468 717 -12
88 905 475
126 566 -869
621 241 782
471 46 -289
379 330 -864
395 827 582
607 401 182
673 897 -810
620 698 -173
183 47 634
888 735 670
216 175 -903
107 383 220
898 486 429
546 722 -876
89 770 41
514 887 723
151 801 434
832 591 568
426 439 652
271 325 188
147 825 477
778 298 -316
244 409 618
919 78 602
890 447 344
226 904 -213
636 503 219
724 828 280
918 212 -965
470 186 -901
445 612 983
629 228 -416
772 779 772
862 110 -981
327 465 486
516 224 -304
856 494 -829
876 742 -250
537 456 -825
582 869 -489
912 405 -677
351 241 -449
783 271 689
931 539 774
778 254 -287
76 317 125
103 137 -300
920 181 -624
58 591 306
230 167 -492
567 750 198
832 295 -907
341 640 -410
30 862 -420
751 637 537
283 786 -170
896 712 -701
400 314 968
406 315 -792
215 7 713
190 579 -284
767 133 568
782 480 -556
96 873 -143
820 470 345
467 266 -843
9 625 695
740 431 -351
553 143 -421
498 394 477
504 692 -971
220 169 281
309 901 -310
519 284 592
203 374 -119
922 323 -564
14 533 -971
570 899 703
684 478 531
103 161 204
466 878 995
597 508 883
392 596 869
499 226 -767
190 191 593
23 18 -368
466 617 335
724 875 475
698 925 753
734 865 886
507 592 -893
867 756 -138
570 621 964
275 349 158
200 175 237
378 477 272
275 895 -718
696 484 222
872 581 -906
182 849 -272
800 399 577
181 123 677
680 276 661
649 417 171
265 824 -126
301 861 302
425 611 -21
846 528 -732
917 428 714
629 410 178
520 81 -20
444 532 390
625 325 -384
336 552 189
904 310 551
533 696 -153
530 334 -865
317 358 -17
40 293 -150
502 317 263
512 424 955
865 162 874
622 115 240
306 3 882
709 815 -174
54 178 78
579 459 -918
341 592 395
481 351 248
411 906 -824
845 879 255
418 350 -966
769 469 748
292 2 291
499 304 -867
209 645 -999
714 882 -463
130 593 -41
625 542 8
262 748 201
637 460 753
66 792 895
652 417 -653
683 863 497
830 701 -379
496 652 337
328 526 -275
924 520 -579
834 619 40
378 487 515
636 806 546
132 451 173
906 196 -157
75 858 386
654 161 -931
56 8 827
194 610 311
780 914 -194
132 850 -753
889 737 -345
493 378 -364
29 581 -254
731 898 1000
143 657 116
91 776 -404
589 96 -771
496 653 572
33 396 -743
567 507 -975
929 515 224
673 572 -673
266 834 -988
627 698 550
716 256 136
299 54 -746
245 721 759
810 369 854
896 547 -20
187 410 579
455 550 -757
624 486 313
637 114 835
355 822 -48
769 868 419
549 338 534
358 492 -535
663 419 13
50 923 14
63 27 428
138 380 38
732 239 799
558 134 802
198 821 -579
479 920 789
183 660 671
267 924 -166
251 644 -935
867 218 -272
419 511 -448
296 323 288
74 703 -257
585 383 -123
435 443 821
55 452 -153
31 582 518
415 288 461
888 337 331
914 112 -961
520 250 683
739 732 -517
651 578 262
908 560 -552
89 367 -877
10 853 -723
339 742 187
744 632 883
69 98 931
754 286 -218
567 164 303
418 473 136
338 93 -137
205 374 -853
452 815 -398
581 309 382
267 251 791
40 720 384
664 727 -892
381 451 -702
746 568 -179
870 251 311
458 171 960
909 794 107
686 704 -190
882 526 -343
30 100 -206
537 327 -131
164 427 843
332 661 -988
459 137 615
95 705 428
170 665 -538
454 104 -107
853 366 891
350 763 511
201 680 -940
74 377 -814
705 123 -388
618 240 -81
483 81 -724
38 332 -856
444 740 723
39 213 10
264 38 -937
576 921 -247
856 813 -110
365 743 737
397 879 139
833 731 -131
825 880 450
614 590 573
540 380 682
97 779 -541
625 245 -508
173 719 430
217 190 -941
729 172 -626
783 719 -259
204 934 -860
307 544 -990
590 415 -901
660 791 -666
740 712 772
772 320 485
419 111 440
75 845 634
325 819 63
710 756 -248
830 464 629
178 736 919
182 267 -194
385 520 -379
214 595 212
770 404 -870
376 104 374
173 139 -674
143 483 517
835 750 561
8 641 661
799 613 782
384 331 -503
767 808 -546
277 475 -286
658 792 571
863 616 -947
374 61 -756
48 378 912
361 7 -962
286 60 -449
477 772 -474
145 379 -225
792 165 -543
48 534 -207
474 777 -604
751 232 -684
52 660 416
519 621 713
165 897 680
289 521 -629
573 713 450
932 656 -686
666 845 380
