9866 29045
5837 5966 -455
632 643 -100
8526 1276 -687
721 1765 450
183 7987 -309
8358 4199 275
9058 2143 -266
6721 4051 -701
431 3836 -90
3139 1733 838
5156 1666 505
2686 4573 -755
7822 6229 507
2699 6818 592
388 198 560
8072 9451 506
1144 9597 87
5408 2278 -479
1727 6654 -505
5392 3272 446
9489 2134 880
532 8228 -1
6086 4585 -241
2647 58 721
1341 6838 -979
5070 6926 -313
7840 8376 592
2509 1661 -700
4955 3835 -894
8306 511 -8
3938 7892 347
51 1260 789
3404 1876 68
520 2154 381
3345 7855 673
9353 9518 963
871 2886 582
4439 5524 288
4629 7880 723
1316 2851 -817
5847 6944 -416
6871 2471 -425
2644 5764 484
9278 8377 754
9632 8803 -859
6040 2750 -737
6975 5020 701
7460 1071 325
549 785 -386
1196 9546 311
3006 3355 724
3515 1559 -23
2310 577 659
5306 9180 406
2034 6026 927
7080 6070 918
3426 7955 41
8267 4135 -322
4232 2873 -925
8181 3348 754
3747 2143 -952
5939 230 224
5785 7521 -820
406 8705 -710
2307 6917 -243
1627 5325 -177
42 5772 -166
2705 6382 -516
4890 9044 -313
7570 2560 -140
9591 3145 624
5482 4856 -633
7425 735 732
9761 5831 0
6615 3841 -389
3833 1967 -579
197 2157 541
6528 3916 -637
6463 8697 -324
302 456 -52
2679 6980 937
6139 3826 -274
9129 3458 -6
7278 3846 61
3660 7325 908
4629 8959 -979
3749 4922 -774
2403 7873 546
4774 3855 431
4096 3659 -373
5007 4285 302
4823 7585 39
3307 7562 -111
7384 4733 -186
4836 2734 303
4391 5488 -848
3047 6420 -207
6928 7734 -427
3580 5312 864
5550 99 -822
6070 1247 452
8529 4547 329
2825 2794 372
9076 243 935
9394 7776 665
4718 3434 230
9223 2427 664
2823 3549 -658
4187 4205 427
7217 344 -663
2568 8024 835
7349 9221 321
2556 5454 -584
4835 838 426
4938 2157 -48
4478 5389 390
9623 9048 -366
5845 8996 -673
2170 5015 -511
105 9467 -37
175 9667 -903
4845 7339 -775
7510 8336 -28
9129 9200 -746
2409 1765 823
2624 5480 -474
5313 6964 249
6631 5690 504
4909 6163 -913
7611 9212 311
756 4716 -519
5592 3772 320
3796 9142 -929
5848 7044 -535
1616 1202 240
617 697 -438
8238 73 -978
9058 3235 -799
5890 7602 -884
9638 9228 -9
6352 3850 886
3788 6635 -536
4870 3031 826
3924 5431 886
4792 82 -282
