921 813
271 487 407
503 313 320
181 812 171
154 799 11
716 481 257
282 268 363
342 619 -994
701 349 516
430 662 863
738 564 -198
355 866 -29
214 801 533
808 887 176
528 816 444
398 550 -329
450 13 945
263 58 652
298 840 811
258 47 -328
610 57 -623
887 815 -780
816 10 294
602 660 398
533 653 -540
28 382 757
71 125 612
264 258 579
348 765 761
396 86 213
548 902 -329
808 598 -392
237 60 -705
503 559 -829
693 90 678
736 454 -603
812 77 -66
720 374 -320
23 555 -425
579 465 439
784 625 511
445 303 913
513 534 224
146 452 -886
299 235 -809
536 636 358
230 257 -880
354 604 701
787 346 178
649 874 -138
662 626 -506
194 350 -149
59 177 -842
908 18 -341
411 127 -760
90 777 -358
906 483 -746
842 433 -641
43 559 -731
87 349 680
797 661 629
719 159 840
19 99 -625
158 1 -774
264 218 674
639 423 -331
94 871 335
141 626 190
178 305 -103
493 483 -994
749 808 -438
658 724 496
165 263 -411
643 612 -340
573 261 -689
784 856 354
680 738 250
729 301 -784
856 259 -174
916 753 -813
266 769 643
921 587 964
565 281 578
481 335 -914
31 765 -299
889 627 -296
111 706 -824
174 565 -420
166 728 448
411 90 690
348 497 -521
750 255 763
495 458 788
733 60 -71
561 522 -602
813 252 678
864 53 -857
235 565 747
191 243 -14
718 566 889
297 689 7
379 144 155
332 188 171
584 609 114
764 514 -236
679 309 544
490 609 8
600 365 -896
503 100 -775
856 681 -70
324 192 954
249 907 -953
536 206 -189
449 30 -632
157 321 -20
734 764 -789
64 398 814
825 679 788
305 859 225
158 770 -582
396 571 645
250 498 -165
198 355 -381
506 844 -736
884 762 161
163 44 -138
786 423 -713
431 564 -554
551 487 766
305 639 167
571 612 598
631 213 614
145 676 -10
478 482 733
144 164 181
170 216 -120
523 921 -285
221 524 676
76 62 134
305 412 -840
211 594 881
792 328 -170
367 177 731
448 695 -449
375 238 857
509 43 849
757 119 525
569 773 762
736 202 -508
809 721 -366
341 688 -4
152 543 511
831 643 888
402 187 628
789 403 -428
877 103 361
602 59 818
350 193 753
317 259 465
46 487 140
6 611 355
309 438 -539
776 721 -145
859 516 681
110 902 -353
766 720 -120
162 155 553
554 280 -327
572 435 -285
902 852 369
628 388 677
917 857 621
814 843 399
608 293 957
855 521 249
377 753 -665
14 191 497
701 31 618
829 397 -682
692 318 215
336 288 722
56 510 654
322 194 -758
467 437 885
54 288 784
409 164 -159
417 93 932
355 104 557
830 371 -468
170 251 -963
59 120 -40
778 588 866
203 81 739
698 411 892
310 360 989
147 827 243
19 196 -420
251 811 -882
604 886 191
57 153 -302
458 325 301
317 168 447
168 570 -583
107 434 -706
57 838 -680
598 23 -833
753 813 -962
631 561 982
4 673 676
32 447 916
900 144 28
546 60 -115
641 791 -47
550 204 -989
829 915 148
390 195 351
462 858 265
