18
969 1615
521 179 287
873 904 142
223 644 183
149 363 678
427 603 776
513 740 121
364 693 667
166 875 109
81 938 887
773 748 15
247 758 406
484 399 153
410 727 600
526 563 541
205 198 825
327 949 676
497 815 895
877 936 470
567 934 237
867 471 522
416 877 43
949 492 311
422 912 348
76 370 791
136 922 248
173 484 364
328 243 518
25 374 660
366 635 513
97 511 291
72 511 816
139 77 678
245 197 763
799 684 48
795 504 646
680 767 775
712 160 713
33 421 330
931 444 723
559 390 437
597 891 136
230 307 674
807 43 788
338 597 274
98 174 233
164 517 354
627 225 802
87 767 741
602 488 61
283 284 920
507 631 674
335 863 623
4 359 311
383 609 722
103 708 811
480 50 544
126 199 563
945 911 301
70 341 891
842 248 293
427 72 52
230 818 565
915 678 721
281 564 21
905 948 475
71 103 489
177 874 810
345 507 102
638 37 190
415 136 54
158 697 269
914 314 367
866 911 945
15 688 323
641 51 760
230 131 769
518 418 423
308 311 201
174 676 279
460 465 773
56 215 325
542 894 554
793 189 466
155 478 966
628 106 550
520 560 216
750 891 166
721 198 88
617 584 503
841 830 140
324 822 548
532 565 860
357 633 68
111 681 65
833 281 988
98 18 639
672 682 627
422 464 137
894 527 452
153 885 278
462 516 451
719 796 481
845 930 17
230 398 715
859 729 928
851 152 523
753 83 570
442 673 588
913 891 886
261 948 525
266 390 210
378 354 538
316 139 888
13 430 747
801 214 405
807 208 333
171 651 439
257 14 294
787 112 704
489 409 626
132 87 779
564 109 616
214 576 469
87 628 395
129 554 737
615 462 624
3 395 734
481 961 435
351 930 598
545 25 718
713 745 694
841 719 130
674 871 100
878 352 460
255 567 826
369 786 973
497 75 631
127 257 496
829 270 180
48 32 327
897 442 549
376 2 77
317 373 593
82 813 237
551 349 571
926 759 644
673 125 634
663 294 396
427 416 104
1 164 27
25 203 900
522 173 723
744 21 462
725 80 656
416 550 678
143 466 244
406 768 401
94 192 958
483 872 698
182 633 299
123 238 449
502 803 29
108 166 954
26 147 910
766 238 525
398 903 150
691 455 594
773 823 483
891 804 180
850 59 826
203 346 609
913 29 788
856 740 632
408 232 61
793 819 381
304 64 893
660 435 803
266 738 272
524 751 429
611 422 96
880 317 900
455 593 631
824 839 47
651 620 882
146 557 620
426 416 612
524 147 163
755 898 743
489 309 295
823 651 370
5 239 921
505 770 249
602 644 750
856 792 988
815 800 678
138 107 972
104 43 235
792 917 354
158 724 65
632 495 775
117 598 615
702 518 591
744 643 531
664 476 770
245 529 953
750 549 200
269 64 790
947 349 813
244 500 664
567 293 962
245 573 832
784 372 679
127 74 485
604 628 535
500 256 333
38 941 265
912 903 845
540 619 658
794 392 362
185 739 956
392 320 647
456 79 979
622 394 931
939 546 161
461 709 46
486 540 553
860 954 877
88 595 692
893 84 49
614 891 633
880 416 592
322 600 480
129 542 764
528 625 108
106 294 128
703 214 671
424 440 755
394 822 518
322 287 636
137 182 295
586 451 165
309 724 842
29 95 651
83 438 48
155 374 224
230 808 548
90 261 989
238 794 665
24 127 379
935 245 595
445 810 515
955 276 80
900 99 556
145 959 167
321 961 571
911 588 46
511 862 564
261 99 735
108 863 925
484 870 53
162 212 752
164 25 180
581 508 108
26 230 706
534 22 238
718 589 879
596 695 265
208 757 897
647 392 307
45 61 140
291 503 734
411 560 913
923 560 935
695 130 61
753 788 246
745 627 157
557 944 859
417 695 471
653 453 3
870 188 211
843 165 698
637 370 100
348 282 850
779 781 966
384 798 571
854 666 896
961 546 213
330 804 54
21 183 451
315 769 150
806 847 820
784 79 842
866 735 99
486 96 790
607 270 253
744 71 712
949 229 58
244 62 663
848 388 976
548 529 52
810 517 615
29 612 560
409 18 678
260 298 816
705 444 255
800 788 475
639 533 474
813 723 191
842 787 49
669 624 381
45 166 32
737 69 368
403 773 545
948 531 337
639 968 294
775 29 87
174 845 857
642 230 674
961 493 930
523 922 561
84 357 504
274 768 619
897 704 580
107 431 908
554 732 648
809 338 198
390 278 234
620 613 290
225 594 207
739 623 401
771 401 3
750 797 682
21 66 148
56 154 135
317 481 888
390 292 116
639 741 16
937 917 162
257 326 505
647 959 610
55 304 806
567 551 383
844 392 55
460 153 394
816 500 802
317 596 295
420 20 619
391 502 417
10 148 56
677 43 549
653 641 17
300 862 912
499 1 512
480 900 610
516 200 39
1 382 832
195 131 708
403 721 597
93 207 352
369 790 934
721 786 457
873 768 838
572 624 445
425 891 317
301 609 74
522 141 500
883 234 921
619 55 315
946 653 396
292 851 651
820 544 977
748 471 537
168 328 17
952 824 828
165 185 133
805 427 4
211 425 809
818 169 42
192 541 859
646 607 596
968 221 647
707 463 228
184 680 480
1 766 138
678 45 105
690 913 408
598 641 590
841 33 738
411 721 189
874 958 40
494 670 701
312 554 756
418 108 884
49 291 518
169 280 450
276 522 730
738 259 34
240 647 906
600 876 296
498 443 474
436 369 337
800 268 989
415 149 787
384 417 869
381 215 114
584 188 700
811 463 980
644 740 50
238 280 690
868 496 164
795 155 271
840 797 264
74 732 891
75 580 188
818 702 369
456 706 322
537 709 29
845 558 255
966 188 785
319 886 659
204 864 584
584 34 254
941 928 302
123 778 142
846 212 534
79 50 666
47 397 782
906 808 247
652 434 276
616 608 657
889 228 266
959 465 370
73 427 459
478 69 6
747 726 286
713 338 478
417 394 241
839 363 93
690 223 763
638 147 873
259 582 865
269 856 840
650 722 742
824 674 571
881 605 629
5 641 288
550 706 613
71 186 597
107 60 846
568 42 110
819 776 573
648 508 186
958 772 504
398 642 379
830 374 105
954 396 305
352 425 999
387 912 881
540 246 454
810 136 6
801 526 141
683 827 161
268 291 152
637 923 561
710 643 799
607 366 793
538 243 154
417 273 373
599 105 368
296 862 907
558 142 512
454 956 546
543 761 113
558 260 116
899 246 541
613 721 748
108 642 476
324 964 480
796 864 745
595 15 824
467 670 694
142 669 981
89 917 631
952 883 885
214 22 879
555 421 214
555 132 167
231 916 538
143 775 328
688 524 879
796 919 681
319 675 404
430 99 748
819 617 804
776 738 263
334 241 988
332 916 411
439 556 253
315 773 145
99 798 304
267 637 182
126 306 229
858 207 697
782 96 937
476 28 994
293 916 670
143 855 347
72 609 100
476 770 490
388 807 908
667 132 251
423 510 721
188 247 892
630 11 386
258 143 249
529 874 128
635 470 61
458 174 179
231 89 689
847 405 911
865 52 245
368 944 709
388 271 157
955 462 93
332 845 811
814 965 876
160 360 158
614 851 272
498 660 948
601 416 681
232 791 4
911 865 186
245 630 691
810 327 655
284 718 200
300 92 17
414 725 195
537 490 50
175 253 474
931 835 245
943 345 9
771 1 577
947 144 565
263 632 689
855 533 102
37 624 25
812 612 446
262 792 62
51 803 783
358 253 707
203 534 722
357 620 649
206 756 455
719 729 404
334 484 738
403 304 34
663 313 829
815 740 436
787 844 967
276 961 454
520 277 382
593 739 671
583 462 63
723 913 576
637 943 643
104 62 390
669 93 601
372 412 562
534 805 662
71 753 731
361 595 288
615 205 938
644 586 480
938 35 4
530 742 475
295 884 23
908 305 567
391 25 771
563 840 415
122 913 243
232 557 605
352 676 507
714 577 26
368 850 323
918 382 946
521 218 272
758 543 941
300 603 211
918 806 232
639 3 356
354 619 201
339 151 686
773 939 379
825 63 556
287 123 853
197 57 194
508 78 63
779 606 202
74 827 406
665 475 577
3 68 633
284 505 408
683 838 532
803 111 461
730 635 283
765 786 688
524 439 917
452 481 624
900 23 49
450 95 520
728 858 987
122 809 48
864 47 462
82 923 31
176 359 860
210 436 325
573 582 601
643 93 194
273 281 722
77 251 777
398 16 551
51 365 83
130 827 521
517 275 41
767 527 492
225 214 135
958 690 653
295 753 491
604 171 200
283 519 72
627 937 717
703 46 792
303 462 666
916 851 94
188 678 895
735 250 57
923 674 534
579 36 647
27 740 717
78 846 819
547 289 169
873 803 690
279 93 478
684 753 825
