883 2853
50 95 608
691 687 232
328 421 968
437 156 272
151 558 378
452 20 988
525 259 317
188 46 508
358 228 383
147 730 778
735 751 318
748 522 352
183 216 215
316 854 625
825 406 738
10 503 900
548 258 588
79 296 518
409 506 126
835 258 303
681 858 2
442 205 122
496 177 420
727 42 634
328 830 997
235 221 923
546 577 829
833 818 306
161 278 540
226 494 540
107 775 583
96 661 820
50 578 409
140 718 991
707 445 504
462 283 441
793 762 319
470 332 632
720 544 629
859 480 818
755 318 128
373 586 598
108 271 557
485 674 162
667 867 365
101 347 16
848 58 14
68 378 969
1 150 15
188 379 28
575 858 239
532 854 282
133 233 423
817 165 931
617 801 37
593 691 559
653 720 746
781 487 791
102 179 735
42 120 593
80 285 376
42 533 113
50 267 300
248 453 491
392 170 772
29 655 701
74 49 479
744 344 729
142 504 904
858 529 352
866 811 105
120 414 596
89 650 467
758 416 812
699 106 8
620 386 82
219 115 388
418 388 176
172 703 645
108 329 528
181 98 973
604 431 194
762 692 934
396 821 692
188 672 472
812 41 478
183 379 589
93 620 365
824 62 192
598 71 839
644 395 316
124 582 665
215 284 604
452 735 976
508 765 614
657 323 254
585 126 425
201 510 849
256 770 14
366 775 976
676 805 510
585 414 835
770 68 365
189 146 107
561 841 429
495 613 171
385 34 797
632 736 243
581 458 931
791 390 658
55 685 539
539 572 486
406 523 530
454 833 986
238 136 254
833 421 419
287 599 50
619 455 956
506 221 981
469 515 698
548 386 485
314 804 91
451 268 820
290 504 369
706 481 149
272 526 326
463 827 759
881 631 755
375 538 665
88 342 435
571 606 614
622 136 375
356 624 642
37 95 278
129 582 345
536 441 817
669 377 393
338 500 986
181 60 796
414 672 940
77 387 737
808 333 59
547 373 54
525 740 391
218 641 631
872 235 165
249 810 606
89 630 419
375 142 263
50 701 611
372 653 16
207 284 478
453 383 172
216 652 753
234 602 752
724 247 704
848 657 469
762 429 304
15 33 156
705 481 415
459 512 906
757 210 214
553 431 204
497 84 928
498 519 257
388 102 571
140 172 439
540 582 724
365 219 257
596 462 153
572 497 368
839 474 471
523 406 614
300 810 462
436 507 62
820 516 433
304 810 877
749 229 915
429 568 295
280 184 504
234 773 116
666 767 684
363 664 341
826 26 772
659 181 520
280 657 240
628 802 320
357 827 458
859 71 309
34 464 782
389 496 77
451 824 861
423 483 30
620 680 795
349 403 772
365 83 646
754 434 633
610 335 800
404 298 200
174 66 53
200 422 141
611 288 13
295 493 804
47 478 579
545 769 494
711 414 142
744 141 991
372 834 735
496 848 657
263 402 954
393 710 463
257 239 867
496 110 805
317 818 219
23 20 176
627 294 450
478 512 177
101 877 284
551 796 803
309 834 994
697 74 995
367 503 833
551 648 256
269 83 314
766 302 897
865 586 721
271 846 546
646 607 969
232 278 133
599 137 695
590 182 83
393 592 891
233 158 156
452 813 582
854 422 584
656 243 880
258 505 429
500 76 821
387 667 864
655 761 923
769 323 272
128 650 68
511 340 636
595 780 167
239 602 22
31 511 834
229 240 149
360 332 73
541 771 130
758 161 637
364 89 714
447 782 454
214 662 102
494 307 612
181 333 139
597 272 486
726 229 73
755 245 749
819 375 416
697 674 602
325 563 722
561 96 357
45 325 399
729 93 47
669 542 592
49 266 543
203 268 105
753 474 811
134 654 905
586 695 917
571 821 631
12 756 376
35 281 636
165 587 140
426 351 269
522 160 710
833 515 168
14 776 20
362 430 572
282 73 905
271 493 121
97 446 80
665 228 943
596 317 509
542 749 866
689 655 188
477 539 85
93 301 609
672 399 150
695 816 860
273 456 901
510 47 786
201 442 909
8 37 40
521 340 686
399 370 749
729 726 198
551 874 671
613 742 117
742 141 357
292 626 856
118 166 265
372 303 787
776 505 504
