17
829 967
174 434 -319
24 660 -746
592 540 -186
6 312 384
406 449 18
414 812 -354
362 468 -918
542 282 677
163 560 944
359 236 910
229 754 136
217 628 -187
562 62 741
67 26 -28
490 796 667
669 439 382
520 663 499
500 646 605
733 174 -566
530 441 -279
443 662 312
465 25 733
37 806 420
705 453 224
777 589 -769
436 722 -347
624 312 -488
604 234 123
143 296 793
103 533 -72
575 284 -59
761 679 -746
71 6 147
276 237 127
691 539 142
401 188 304
334 470 690
502 428 -411
477 392 -676
389 573 -937
702 115 -427
339 270 -211
33 480 176
388 15 76
556 613 60
223 187 -632
244 396 368
87 390 -284
15 58 -581
194 798 325
194 61 -278
52 30 127
802 469 -246
10 334 -203
549 271 656
384 43 577
720 686 305
759 383 870
110 203 -326
409 517 -309
250 124 117
741 469 477
166 349 -724
321 557 -913
177 503 800
464 117 -18
140 313 -515
63 530 819
500 8 487
277 303 844
804 612 889
498 623 340
541 148 947
113 247 397
173 588 -722
422 23 -331
103 387 197
808 92 -709
43 396 703
464 35 408
145 455 637
316 207 901
488 756 967
443 536 988
584 473 -535
457 334 -538
325 402 149
615 569 43
274 785 -779
204 116 -54
474 466 808
368 594 -640
287 699 695
612 276 456
196 771 376
646 252 -276
192 647 -828
171 212 820
367 340 -42
395 644 -472
427 587 115
302 719 994
322 608 -998
245 551 -351
71 190 161
531 49 926
482 537 946
600 613 287
628 792 505
565 605 -274
80 796 -161
696 130 845
330 107 -515
329 536 -896
329 609 -688
129 566 490
59 139 -344
776 675 751
513 192 595
172 813 -521
530 235 202
477 55 -307
96 268 -803
709 762 -476
605 46 196
518 501 537
352 736 -972
109 408 -564
341 530 437
676 302 -234
730 583 -329
529 703 -969
708 110 -742
748 447 408
239 96 748
31 563 814
552 566 840
829 155 -586
719 634 -34
651 232 926
547 225 115
232 781 -992
543 517 825
501 432 441
462 343 -935
161 808 992
778 89 439
571 782 152
606 539 180
570 614 -352
450 22 575
46 61 567
278 468 668
652 63 634
547 113 770
680 231 335
25 518 628
63 561 196
479 221 306
819 390 261
789 725 -405
136 228 -392
578 175 237
527 361 654
415 66 -961
815 368 -972
259 187 796
737 759 190
465 592 953
671 751 769
765 607 699
326 194 -338
309 543 807
484 828 -992
350 152 737
412 74 -422
591 573 -159
827 729 674
579 719 345
674 510 -557
634 523 -126
99 439 41
551 705 -569
660 141 -69
320 587 749
56 449 454
122 624 -152
384 517 -512
306 48 614
245 620 147
173 812 834
653 53 846
711 238 -404
584 105 492
352 503 402
71 507 -789
231 119 502
812 634 -760
268 626 415
510 741 575
640 542 597
635 128 102
810 286 575
207 176 -610
667 41 -784
639 322 148
795 683 -779
414 799 679
126 700 271
498 362 -534
68 198 225
773 663 -22
753 667 348
86 353 912
597 217 240
313 672 217
488 734 346
182 27 -678
341 1 -663
