8950 26554
3467 4361 737
4017 7460 -417
7475 2372 911
4344 5543 -900
1844 559 -175
3755 499 617
1104 8659 -892
1028 488 -893
8689 625 294
7528 8159 -774
7083 3795 -594
5385 3884 -243
223 7738 36
8870 4956 -794
5963 397 437
1388 5702 -34
3637 3661 892
5546 5887 -597
1089 2738 137
94 4264 242
7976 4245 586
7761 6267 -941
4984 1062 874
2602 1772 -97
3723 7428 -700
3935 2190 -892
1203 6344 -163
403 6236 -148
8635 6134 879
6314 3160 547
6196 1221 738
6115 4638 311
8472 166 816
1644 1948 306
5134 4578 -869
5330 2702 -922
7490 2983 -962
7274 8624 -834
7094 4244 212
8188 7070 -364
2507 3213 47
412 7889 -918
1191 236 676
6268 1629 -549
8871 1381 750
3095 5191 869
8837 495 -243
5806 176 -32
4053 5438 -516
4892 6583 -556
7644 6638 633
7668 6684 -825
6569 1454 -698
7074 4698 -610
4580 1195 933
2893 3262 -368
7501 2513 567
1413 8281 -517
5218 2455 -317
4502 6530 244
5193 5253 595
1030 4464 -388
7222 5179 -122
1906 5448 -8
1484 2445 -172
6542 4364 502
8210 3531 -326
3144 2520 -58
1385 1889 850
3477 7860 -908
4841 3746 -717
6018 7189 562
2303 2081 -165
770 8628 -903
3063 7085 -465
4055 1137 -935
8365 2095 -989
5801 3041 10
3944 8552 -608
7022 8635 410
4726 6416 -963
4172 4962 797
8355 1459 384
3919 5396 95
2765 5416 -432
812 2375 -950
8599 1770 -589
1945 1208 -746
791 3831 -532
6373 1576 -410
4861 6095 -845
3715 5699 -590
5372 2846 -392
8565 238 -858
4564 7160 -102
1731 6390 -706
8761 5891 -301
5479 2356 -39
954 5118 -193
1053 7527 -388
8566 7274 -586
8063 1217 -394
4019 86 -967
2945 7745 -841
5583 4137 -994
2639 7943 -578
1821 4641 219
1098 7915 281
2362 5007 807
8721 4377 533
2906 7868 576
6625 6542 -93
1188 8452 -326
2601 139 788
1344 234 784
1611 6835 524
2853 3535 644
4804 3741 -375
5578 296 -572
6889 7923 -534
6925 7202 -346
5663 3090 887
1897 2071 587
2826 4332 -615
7488 7495 -448
7472 5189 982
5197 4574 -675
6617 1092 685
800 964 -471
60 8446 -645
556 1207 -609
1011 2880 -724
6450 4658 313
5690 2006 6
2846 1949 -626
1897 2759 815
3025 2037 -606
3685 8446 -886
1400 2412 -238
8461 3684 -32
6090 4292 928
8697 8372 -357
4160 5788 -512
8054 8242 591
5897 6200 -699
1344 8714 -445
8633 4096 860
1258 273 371
5197 7377 220
7605 7826 304
856 4469 439
7738 7217 861
7908 7615 507
4080 2358 -535
357 1767 -521
912 479 585
1258 7234 -808
7472 643 -938
8215 562 -195
3220 8476 -461
5607 147 31
8430 2007 603
7080 766 -103
4112 2027 794
3128 4608 -426
1410 388 -445
1804 1297 -685
8544 3018 -649
2549 2642 633
5526 2087 232
6223 1436 -179
7817 6446 334
4448 8138 541
5974 4293 125
2472 6704 -469
7908 8290 972
5467 3235 238
3820 7582 16
8760 5913 -253
4185 934 -179
3802 4479 836
8614 8097 194
4119 4100 87
4816 2211 168
6781 3120 233
8041 2854 849
5383 3192 441
4834 6798 70
1325 4297 113
7560 2689 -254
4063 6499 678
106 3731 -402
293 6127 406
4084 5440 492
5073 6032 -713
3109 8361 592
4423 4578 -484
7612 8544 114
6702 658 328
7622 4906 -314
4049 1796 -510
7089 1848 598
6532 8369 806
7963 8503 648
1336 5734 883
7505 1795 -169
8054 6603 -936
8188 7660 -240
7898 2058 -70
195 7767 -787
1666 4558 -480
1394 4516 655
3811 6563 -776
785 7395 -611
6268 62 933
2183 7738 -653
4804 6349 -869
8220 2698 488
6710 7422 -518
3136 8067 -324
632 2926 -447
5804 5346 -377
3870 4463 -317
451 7825 -846
5753 3281 -189
8020 4957 -72
1159 7288 -694
1498 3100 -55
1135 5349 -136
2547 6222 731
611 3369 -97
3813 1081 -887
8096 2634 627
8846 6104 508
4602 5451 529
3020 1939 -92
2916 5769 -660
8342 3711 -571
8104 161 271
2510 7650 36
2564 3341 -465
7963 3061 986
7580 5089 980
8868 1096 -225
8485 350 -109
5777 4256 -83
1921 7296 815
2045 8136 -889
4082 2498 29
4788 2728 678
1975 4320 327
7901 7781 190
6258 4458 687
6897 2099 904
5914 480 773
4035 43 -480
882 5101 -180
3742 1484 -121
4881 8490 961
8594 8071 -825
5950 342 611
